FID,SCD,STR_NAME,BEZANZ,BEZLISTE,GUELTIG_AB,GIP_OBJECTID,NAMECAT,NAMECAT_NAME
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5f8b,71009,KG Mariahilf,1,6,1983-10-13,10010705,7253,Katastralgemeinde
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5f8c,71011,KG Wieden,1,4,1983-10-13,10010707,7253,Katastralgemeinde
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5f8d,19022,Friedhof Kagran,1,22,2012-10-09,10010174,7251,Friedhof
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5f8e,19023,Friedhof Kaiserebersdorf,1,11,2012-10-09,10010175,7251,Friedhof
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5f8f,19025,Friedhof Lainz,1,13,2012-10-09,10010177,7251,Friedhof
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5f90,15136,Großer Lehmteich,1,10,2006-02-02,10457873,62,"Stehendes Gewässer (See, Teich)"
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5f91,16003,KLG Alsrücken,1,17,1973-01-05,10009109,7353,Kleingartenanlage
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5f92,05641,Belovskyweg,1,22,1973-01-05,10005517,2058,Weg in Kleingartenanlage
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5f93,01058,Enenkelstraße,1,16,1900-07-26,10001021,1113,Gemeindestraße
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5f94,03164,Meisgeyergasse,1,23,1955-12-07,10003092,1113,Gemeindestraße
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5f95,04429,Schwendergasse,1,15,1894-06-30,10004332,1113,Gemeindestraße
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5f96,02552,Königseggasse,1,6,1903-10-23,10002489,1113,Gemeindestraße
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5f97,00038,Agricolagasse,1,16,1936-05-23,10000037,1113,Gemeindestraße
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5f98,12307,Muhrhoferweg,1,11,1971-12-07,10008390,1113,Gemeindestraße
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5f99,00931,Dresdner Straße,2,2|20,1877-01-01,10000895,1113,Gemeindestraße
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5f9a,04825,Tallesbrunngasse,1,19,1906-05-15,10004724,1113,Gemeindestraße
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5f9b,05788,Wienerwaldgasse,1,14,1983-12-15,10005649,1113,Gemeindestraße
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5f9c,09477,An der Neurisse,1,22,1986-01-28,10006831,1113,Gemeindestraße
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5f9d,06281,Donau-City-Straße,1,22,1998-10-20,10006104,1113,Gemeindestraße
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5f9e,09852,An der Pogrelzstraße,1,22,1973-01-05,10007156,1113,Gemeindestraße
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5f9f,02855,Leopold-Rister-Gasse,1,5,1957-10-02,10002789,1113,Gemeindestraße
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5fa0,00878,Dr.-Schreber-Gasse,1,13,1973-01-05,10000847,1113,Gemeindestraße
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5fa1,00913,Dostalgasse,1,13,1955-06-08,10000877,1113,Gemeindestraße
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5fa2,12649,Felix-Bischof-Weg,1,22,2002-03-05,10393447,1113,Gemeindestraße
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5fa3,71002,KG Alsergrund,3,9|18|19,1983-10-13,10010698,7253,Katastralgemeinde
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5fa4,15107,Senderstrassengraben,1,21,2006-02-02,10457846,2013,Fließgewässer
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5fa5,15110,Jägerbach,1,17,2006-02-02,10457848,2013,Fließgewässer
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5fa6,15112,Wlassakgraben,1,13,2006-02-02,10457850,2013,Fließgewässer
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5fa7,15114,Rautenwegbiotop,1,22,2006-02-02,10457852,62,"Stehendes Gewässer (See, Teich)"
