"Streetname","District","Type"
"Julius-Popp-Hof","5","städtische Wohnhausanlage"
"Wilhelm-Weber-Weg","11","Gemeindestraße"
"Exenbergerweg","11","Gemeindestraße"
"Toskaweg","11","Gemeindestraße"
"Franz-Haas-Platz","11","Gemeindestraße"
"Penzinger Bad","14","Bad"
"Badeschiff","2","Bad"
"Kleiner Heuberg","17","Flurname"
"Krapfenwaldl","19","Flurname"
"Laaer Berg","10","Berg"
"Freudenauer Hafenbrücke linkes Tragwerk","2","Brücke"
"Franz-Bauer-Hof","6","städtische Wohnhausanlage"
"KLG Ried an der Als","17","Kleingartenanlage"
"KLG Nachreihen","17","Kleingartenanlage"
"KLG Unteralsegg","17","Kleingartenanlage"
"Viktor-Frankl-Hof","2","städtische Wohnhausanlage"
"Mickertsweg","22","Weg in Kleingartenanlage"
"Nußweg","11","Weg in Kleingartenanlage"
"Fleminghof","16","städtische Wohnhausanlage"
"KLG Bei den Awaren","11","Kleingartenanlage"
"Brunnenmarkt","16","Markt"
"Genochmarkt","22","Markt"
"Große Bischofswiese","13","Wiese"
"Parapluieteichsteg","17","Brücke"
"Parkplatzbrücke","17","Brücke"
"Dr.-Adolf-Schärf-Hof","16","städtische Wohnhausanlage"
"Anton-Hölzl-Hof","10","städtische Wohnhausanlage"
"Leopold-Thaller-Hof","3","städtische Wohnhausanlage"
"Kohlenbrennergraben","19","Fließgewässer"
"Hackhofer Gerinne","19","Fließgewässer"
"Taubenweg","11","Weg in Kleingartenanlage"
"Traubenweg","11","Weg in Kleingartenanlage"
"Paul-Wagner-Gasse","11","Gemeindestraße"
"Seestadtstraße","22","Gemeindestraße"
"Ada-Lovelace-Straße","22","Gemeindestraße"
"Edith-Piaf-Straße","22","Gemeindestraße"
"Ella-Lingens-Straße","22","Gemeindestraße"
"Frenkel-Brunswik-Gasse","22","Gemeindestraße"
"Maria-Tusch-Straße","22","Gemeindestraße"
"Gisela-Legath-Gasse","22","Gemeindestraße"
"Maria-Trapp-Platz","22","Gemeindestraße"
"Hannah-Arendt-Platz","22","Gemeindestraße"
"Mimi-Grossberg-Gasse","22","Gemeindestraße"
"Hermine-Dasovsky-Platz","22","Gemeindestraße"
"Mela-Spira-Gasse","22","Gemeindestraße"
"Schenk-Danzinger-Gasse","22","Gemeindestraße"
"Agnes-Primocic-Gasse","22","Gemeindestraße"
"Susanne-Schmida-Gasse","22","Gemeindestraße"
"Ilse-Arlt-Straße","22","Gemeindestraße"
"Platz der Menschenrechte","7","Gemeindestraße"
"Businesspark Marximum","11","Objektname"
"Janis-Joplin-Promenade","22","Gemeindestraße"
"Georgine-Steininger-Weg","22","Gemeindestraße"
"Effenbergplatz","22","Gemeindestraße"
"Maria-Potesil-Gasse","22","Gemeindestraße"
"Jenny-Steiner-Weg","7","Gemeindestraße"
"Leopoldine-Padaurek-Straße","21","Gemeindestraße"
"Franz-Sebek-Straße","21","Gemeindestraße"
"Vera-Schwarz-Gasse","23","Gemeindestraße"
"Ernst-Krenek-Gasse","23","Gemeindestraße"
"Steg Tuschlgasse","23","Brücke"
"Paul-Amann-Brücke","13|14","Brücke"
"Anschlussstelle Iakw","22","Gemeindestraße"
"Tora-San-Park","21","Park"
"Gasometer B/Schild-Zubau","11","Objektname"
"Camping Wien Süd ""Residenz im Schloßpark""","23","Campingplatz"
"Gertrude-Fröhlich-Sandner-Campus","2","Schule"
"Ha-Wei-Brücke","14","Brücke"
"Sportclub HAKOAH","2","Sportplatz"
"Sportanlage KSV Wienstrom","2","Sportplatz"
"Hilde-Spiel-Park","19","Park"
"Käthe-Jonas-Hof","14","städtische Wohnhausanlage"
"Unterführung Ailecgasse","11","Unterführung"
"Aumüllerwiese","13","Wiese"
"Trausamwiese","13","Wiese"
"Neue Wiese","13","Wiese"
"Salonwaldwiese","13","Wiese"
"Parkplatz Fliederweg","22","Parkplatz"
"Kronwörth","22","Riedbezeichnung"
"Otmar-Emerling-Platz","21","Gemeindestraße"
"Eva-Rosenfeld-Weg","21","Gemeindestraße"
"Yehudi-Menuhin-Weg","21","Gemeindestraße"
"Firnbergplatz","22","Gemeindestraße"
"Johannes-Bischko-Platz","13","Gemeindestraße"
"Victor-Braun-Platz","3","Gemeindestraße"
"Lisette-Model-Platz","8","Gemeindestraße"
"Schweiglpark","21","Park"
"Karl-Schafhauser-Weg","23","Gemeindestraße"
"Anlegestelle Twin-City Liner / DDSG","1|2","Twin City Liner"
"Seitenhafen","2","Flurname"
"Prater Spitz","2","Flurname"
"Wehleweg","3","Gemeindestraße"
"Kunst Haus Wien","3","Museum"
"Louise-Martini-Weg","3","Gemeindestraße"
"KLG ÖBB Maxing 2066 (Wambachergasse)","13","Kleingartenanlage"
"KLG ÖBB Maxing-Süd 2068","12","Kleingartenanlage"
"Bahnhof Quartier Belvedere","3","Bahnhof"
"Sportzentrum Porzellangasse","9","Sportstätten"
"Parkanlage Kirchengasse","7","Park"
"Blumengärten Hirschstetten","22","Park"
"Parkanlage Badeteich Süßenbrunn","22","Park"
"Parkanlage Teich Hirschstetten","22","Park"
"Parkanlage Am Kahlenberg","19","Park"
"Parkanlage Angeliwiese","21","Park"
"Parkanlage Antaeusgasse","14","Park"
"Parkanlage Wielandplatz","10","Park"
"Parkanlage Fischhofgasse","10","Park"
"Parkanlage Wilhelm-Erben-Gasse","23","Park"
"Parkanlage Lichtensterngasse","12","Park"
"Footballzentrum Ravelinstraße","11","Sportplatz"
"Busbahnhof (Wiedner Gürtel)","4","Bahnhof"
"Lazarettgassenweg","9","Gemeindestraße"
"Adrienne-Gessner-Gasse","21","Gemeindestraße"
"Sportzentrum Strebersdorf","21","Sportstätten"
"Sportplatz Gem.Wien Inzersdorf","23","Sportplatz"
"Sporthalle Liesing","23","Sportstätten"
"Sporthalle Pastorstraße","21","Sportstätten"
"KGA St.Peter","17","Kleingartenanlage"
"Schütte-Lihotzky-Weg","11","Gemeindestraße"
"Humboldtpark","10","Park"
"Parkanlage Keplerplatz","10","Park"
"Johanna-Prangl-Hof","6","städtische Wohnhausanlage"
"U-Bahn Station Hausfeldstraße","22","U-Bahnstation"
"U-Bahn Station Aspern Nord","22","U-Bahnstation"
"U-Bahn Station Seestadt","22","U-Bahnstation"
"Nordbahnlände","20","Flurname"
"Praterlände","2","Flurname"
"Landungshauslände","2","Flurname"
"Pfeiferlände","2","Flurname"
"Krieau Lände","2","Flurname"
"Stadlauer Lände","2","Flurname"
"Schögerhaus Lände","2","Flurname"
"Buddhistische Friedenspagode","2","Objektname"
"Gewidmete Verkehrsfläche","3","Gemeindestraße"
"Parkanlage Wlassakstraße","13","Park"
"Parkanlage Gemeindeberggasse","13","Park"
"Parkanlage Josef-Kraft-Weg","13","Park"
"Parkanlage Wolkersbergenstraße","13","Park"
"Parkanlage Faistauergasse","13","Park"
"Parkanlage Wolfersberg","14","Park"
"Carsonypark","11","Park"
"Luise-Montag-Park","11","Park"
"Parkanlage Albin-Hirsch-Platz","11","Park"
"Parkanlage Haugerstraße","11","Park"
"Parkanlage Dürrnbacherstraße","11","Park"
"Parkanlage Blériotgasse","11","Park"
"Parkanlage Seeschlachtweg","11","Park"
"Parkanlage Hasenleitengasse","11","Park"
"Parkanlage Ludwig-Kralik-Weg","11","Park"
"Parkanlage Zanaschkagasse","12","Park"
"Parkanlage An den Eisteichen","12","Park"
"Parkanlage Zehngrafweg","11","Park"
"Parkanlage Ziegelhofstraße","22","Park"
"Jakob-Bindel-Park","22","Park"
"Parkanlage Weilgasse","19","Park"
"Parkanlage Weiglgasse","15","Park"
"Parkanlage Weissauweg","22","Park"
"Parkanlage Wankläckergasse","21","Park"
"Parkanlage Vorgartenstraße","20","Park"
"Parkanlage Durchlaufstraße","20","Park"
"Parkanlage Viktor-Kutschera-Platz","14","Park"
"Parkanlage Van-der-Nüll-Gasse","10","Park"
"Parkanlage Urban-Loritz-Platz","7","Park"
"Parkanlage Untere Kaistraße","10","Park"
"Parkanlage Unter-Laaer Straße","10","Park"
"Parkanlage Leipziger Platz","20","Park"
"Parkanlage Ungerbau","20","Park"
"Parkanlage Ungargasse","3","Park"
"Parkanlage Underground","21","Park"
"Parkanlage Lorettowiese","21","Park"
"Parkanlage U2/Stadlau","22","Park"
"Argauergasse","18","Gemeindestraße"
"Bäckenbrünnlgasse","18","Gemeindestraße"
"Hubergasse","16","Gemeindestraße"
"Eisnergasse","16","Gemeindestraße"
"Josef-Melichar-Gasse","21","Gemeindestraße"
"Hubertusgasse","21","Weg in Kleingartenanlage"
"Hildebrandgasse","17|18","Gemeindestraße"
"Goldsterngasse","14","Gemeindestraße"
"Genossenschaftsstraße","14","Gemeindestraße"
"Hauptstraße","14","Gemeindestraße"
"Maderspergerstraße","16","Gemeindestraße"
"Heiderichstraße","16","Gemeindestraße"
"Weißenwolffgasse","21","Gemeindestraße"
"Sandtnergasse","21","Gemeindestraße"
"Floridsdorfer Hauptstraße","21","Gemeindestraße"
"Prinzgasse","22","Gemeindestraße"
"Kreuzfeldgasse","21","Gemeindestraße"
"Adolf-Uthmann-Gasse","21","Gemeindestraße"
"Tiefendorfergasse","14","Gemeindestraße"
"Jaunerstraße","13","Gemeindestraße"
"Mögelegasse","13","Gemeindestraße"
"Kalmanbrücke","13","Brücke"
"Baumgartenstraße","14","Gemeindestraße"
"Kaltenbäckgasse","14","Gemeindestraße"
"Laskywiesengasse","14","Gemeindestraße"
"Dostgasse","14","Gemeindestraße"
"Heinrich-Müller-Weg","14","Gemeindestraße"
"Roman-Felleis-Gasse","21","Gemeindestraße"
"Doningasse","22","Gemeindestraße"
"Schlettergasse","22","Gemeindestraße"
"Sommerschuhgasse","23","Gemeindestraße"
"Astgasse","14","Gemeindestraße"
"Marktgasse","9","Gemeindestraße"
"Sporkenbühelgasse","9","Gemeindestraße"
"Bleichergasse","9","Gemeindestraße"
"Haidmannsgasse","15","Gemeindestraße"
"Godowskygasse","23","Gemeindestraße"
"Salvatorianerplatz","10","Gemeindestraße"
"Donizettiweg","22","Gemeindestraße"
"Rosensteingasse","16|17","Gemeindestraße"
"Jiricekgasse","21","Gemeindestraße"
"Seeschlachtweg","11","Gemeindestraße"
"Stoffellagasse","2","Gemeindestraße"
"Weichselweg","22","Gemeindestraße"
"Windschutzstraße","14","Gemeindestraße"
"Dopschstraße","21","Gemeindestraße"
"Maynollogasse","18","Gemeindestraße"
"Dollinergasse","19","Gemeindestraße"
"Hochweg","17","Gemeindestraße"
"Nikolaihochstraße","14","Brücke"
"Soesergasse","10","Gemeindestraße"
"Radnitzkygasse","10","Gemeindestraße"
"Lissagasse","3","Gemeindestraße"
"Stolberggasse","5","Gemeindestraße"
"Sommerergasse","13","Gemeindestraße"
"Seeböckgasse","16","Gemeindestraße"
"Schleidengasse","21","Gemeindestraße"
"Aslangasse","19","Gemeindestraße"
"Leidesdorfgasse","19","Gemeindestraße"
"Fussweg Stanislausgasse","3","Gemeindestraße"
"Mayerhofgasse","4","Gemeindestraße"
"Plunkergasse","15","Gemeindestraße"
"Bonitzgasse","21","Gemeindestraße"
"Fahnengasse","1","Gemeindestraße"
"Joseph-Roth-Gasse","2","Gemeindestraße"
"Kaserngasse","23","Gemeindestraße"
"Stammgasse","3","Gemeindestraße"
"Beatrixgasse","3","Gemeindestraße"
"Siegelgasse","3","Gemeindestraße"
"Leonhardgasse","3","Gemeindestraße"
"Posthorngasse","3","Gemeindestraße"
"Adele-Worm-Weg","22","Gemeindestraße"
"Franz-Pixner-Weg","22","Gemeindestraße"
"Raabweg","22","Weg in Kleingartenanlage"
"Zillbauerweg","22","Gemeindestraße"
"Wasagasse","9","Gemeindestraße"
"Schlickgasse","9","Gemeindestraße"
"Pelikangasse","9","Gemeindestraße"
"Dänenstraße","18|19","Gemeindestraße"
"Eduardgasse","18","Gemeindestraße"
"Czartoryskigasse","17|18","Gemeindestraße"
"Stifterbrücke","14","Brücke"
"Molitorgasse","11","Gemeindestraße"
"Bärengasse","5","Gemeindestraße"
"Apfelgasse","4","Gemeindestraße"
"Margeritenweg","22","Gemeindestraße"
"Silberergasse","22","Gemeindestraße"
"Suchenwirtplatz","10","Gemeindestraße"
"Brantinggasse","10","Gemeindestraße"
"Unter-Laaer Straße","10","Gemeindestraße"
"Obeliskenweg","17","Weg in Kleingartenanlage"
"Rokitanskygasse","17","Gemeindestraße"
"Sportplatz WFV-Hirschstetten","22","Sportplatz"
"Sportplatz Donau","22","Sportplatz"
"Küniglberg","13","Berg"
"Gaswerksteg-Betriebsbahnhof","3","Brücke"
"Gaswerksteg über Erdbergstraße","3","Brücke"
"Parapluie-Teich","17","Stehendes Gewässer (See, Teich)"
"KLG Schottersee Janecek","22","Kleingartenanlage"
"KLG ÖBB Landwirtschaft (Gr.95)","21","Kleingartenanlage"
"Anton-Katschinka-Hof","5","städtische Wohnhausanlage"
"Anton-Schrammel-Hof","11","städtische Wohnhausanlage"
"Beerhof","20","städtische Wohnhausanlage"
"Bertha-von-Suttner-Hof","4","städtische Wohnhausanlage"
"Blathof","14","städtische Wohnhausanlage"
"Brunngraberhof","10","städtische Wohnhausanlage"
"Chopinhof","2","städtische Wohnhausanlage"
"Conrad-Lötsch-Hof","21","städtische Wohnhausanlage"
"Davidhof","16","städtische Wohnhausanlage"
"Dr.-Friedrich-Becke-Hof","16","städtische Wohnhausanlage"
"SDL Rosenhain","22","Gartensiedlung und Siedlung"
"Silvaraweg","19","Gemeindestraße"
"Kampstraße","20","Gemeindestraße"
"Uhugasse","21","Gemeindestraße"
"Argentinierstraße","4","Gemeindestraße"
"Walter-Caldonazzi-Platz","13","Gemeindestraße"
"Straße des Ersten Mai","2","Gemeindestraße"
"Gabriele-Possanner-Park","9","Park"
"Hubert-Blamauer-Park","10","Park"
"Jakob-Rosenfeld-Park","22","Park"
"Brücke im Zuge der Kaiser-Franz-Josef-Straße","23","Brücke"
"Guneschgasse","19","Gemeindestraße"
"Brechergasse","19","Gemeindestraße"
"Spitalgasse","9","Gemeindestraße"
"Am Kabelwerk","12","Gemeindestraße"
"Otto-Benedik-Platz","21","Gemeindestraße"
"Danhausergasse","4","Gemeindestraße"
"Bundesbad Alte Donau","22","Bad"
"Wiesnergasse","22","Gemeindestraße"
"KLG Schießstattlacke","22","Kleingartenanlage"
"KLG Arbeiterstrandbadstraße","22","Kleingartenanlage"
"Unterführung Rappachgasse","11","Unterführung"
"Zedlitzsteg","1","Brücke"
"Ernest-Bevin-Hof","17","städtische Wohnhausanlage"
"Faberhof","8","städtische Wohnhausanlage"
"Hackinger Wiese","13","Wiese"
"Hohenauerwiese","13","Wiese"
"Rohrdurchlaß Dürwaringgraben","18","lokaler (interner) Straßenname"
"Prießnitzsteg","18","Brücke"
"Jungherrensteg","19","Brücke"
"Hammerschmiedgrabenbrücke","19","Brücke"
"Lackenjöchl","22","Flurname"
"Überführung A22 Kaisermühlen Norden","22","Brücke"
"Wagramer Tunnel","22","Tunnel"
"KLG Eigengrund","11","Kleingartenanlage"
"KLG Wilhelmshöhe","10","Kleingartenanlage"
"KLG Kulturfreunde Weiskerngasse","16","Kleingartenanlage"
"KLG Steinhof Anstalt","14","Kleingartenanlage"
"KLG ÖBB Wien-West 2050 (Amortgasse)","14","Kleingartenanlage"
"Schuhmeierbrücke","14","Brücke"
"Hadiksteg","14","Brücke"
"Steg über den Halterbach","14","Brücke"
"KLG Leberberg","11","Kleingartenanlage"
"KLG Leopoldau (Gr.SCH)","21","Kleingartenanlage"
"KLG Arsenal","3","Kleingartenanlage"
"KLG Atzgersdorfer Heide","23","Kleingartenanlage"
"KLG Esparsette Altmannsdorf","12|23","Kleingartenanlage"
"Lusthauswasser","2","Stehendes Gewässer (See, Teich)"
"Mauthnerwasser","2","Stehendes Gewässer (See, Teich)"
"Moosgraben","14|17","Fließgewässer"
"Oberes Heustadelwasser","2","Stehendes Gewässer (See, Teich)"
"Oberes Mühlwasser","22","Stehendes Gewässer (See, Teich)"
"Höpflerbad","23","Bad"
"Spenadlwiese","2","Wiese"
"Lobkowitzplatz","1","Gemeindestraße"
"Platzergasse","21","Gemeindestraße"
"Pielachgasse","20","Gemeindestraße"
"Geißfußgasse","10","Gemeindestraße"
"Hackinger-Schloß-Park","13","Park"
"Wawragasse","14","Gemeindestraße"
"Hammerschmidtgasse","19","Gemeindestraße"
"Quellenplatz","10","Gemeindestraße"
"Klosterneuburger Straße","20","Gemeindestraße"
"Freudenauer Hafen","2","Hafenanlage"
"Meierspitz","22","Flurname"
"Karl-Kautsky-Hof","22","städtische Wohnhausanlage"
"Hohe Laurenzer Wiese","13","Wiese"
"Auhofer Große Stockwiese","13","Wiese"
"Astrid-Lindgren-Schule","6","Schule"
"Baumgartner Wald","14","Wald"
"Ableidingergrund","22","Riedbezeichnung"
"Heinz-Heger-Park","9","Park"
"Aspern Seestadt","22","Objektname"
"KLG Fasangarten","12","Kleingartenanlage"
"Leon-Askin-Park","16","Park"
"Franz-Karl-Effenberg-Hof","22","städtische Wohnhausanlage"
"Bertha von Suttner-Schulschiff","21","Objektname"
"Parkplatz Pötzleinsdorfer Höhe","18","Parkplatz"
"Margarethe-Trappl-Hof","21","städtische Wohnhausanlage"
"Rudolf-Huber-Hof","22","städtische Wohnhausanlage"
"Austria Center Vienna","22","Objektname"
"Schrefelplatz","13","Gemeindestraße"
"Ottakringer Platz","16","Gemeindestraße"
"Holowatyjplatz","13","Gemeindestraße"
"Familienbadestrand an der Neuen Donau","21","Flurname"
"Lumbyepark","22","Park"
"Kaiserwiese (Prater)","2","Wiese"
"Lagerwiese Kaiserwasser","22","Wiese"
"Josef-Srp-Hof","16","städtische Wohnhausanlage"
"Hubert-Pfoch-Hof","16","städtische Wohnhausanlage"
"Klosterneuburger Hochstraße","19","Brücke"
"Klosterneuburger Hochstraße","19","Brücke"
"Klosterneuburger Hochstraße","19","Brücke"
"KLG Kanalwächterhaus","2","Kleingartenanlage"
"KLG Obstfreunde","21","Kleingartenanlage"
"KLG ÖBB Hütteldorf 2061","14","Kleingartenanlage"
"Temporärer Markt Favoritenstraße","10","Markt"
"Linzerweg","11","Weg in Kleingartenanlage"
"Lilienweg","11","Weg in Kleingartenanlage"
"B227","1|2|3|9|19|20|21","Landesstraße B"
"Matzleinsdorf Frachtenbahnhof","10","Bahnhof"
"Franz-Josefs-Bahnhof","9","Bahnhof"
"Wilfanpark","19","Park"
"Christensonsteg","23","Brücke"
"Gewidmete Verkehrsfläche","18","Gemeindestraße"
"Bahnhof Grillgasse","10|11","Bahnhof"
"Westbahnhof","15","Bahnhof"
"B227 - Abfahrt Handelskai Stadteinwärts","19|20","Landesstraße B"
"Gewidmete Verkehrsfläche","14","Gemeindestraße"
"Vierter Rosenbachsteg","14","Brücke"
"Mooswiesengrabendurchlaß","14","Brücke"
"Märzstraßenbrücke","14","Brücke"
"Dr.-Ellenbogen-Hof","20","städtische Wohnhausanlage"
"Emil-Reich-Hof","19","städtische Wohnhausanlage"
"Zierleitenbrücke","19","Brücke"
"Karmelitermarkt","2","Markt"
"Gewidmete Verkehrsfläche","21","Gemeindestraße"
"Gewidmete Verkehrsfläche","21","Gemeindestraße"
"Leopold-Böhm-Straße","3","Gemeindestraße"
"Humbert-Spitzer-Platz","2","Gemeindestraße"
"Oskar-Werner-Hof","8","städtische Wohnhausanlage"
"Dechantlacke","22","Stehendes Gewässer (See, Teich)"
"Hanslteich","17","Stehendes Gewässer (See, Teich)"
"Straßenbrücke Wolf in der Au","14","Brücke"
"Kielmannseggbrücke","14","Brücke"
"Rudolf-Nurejew-Promenade","22","Gemeindestraße"
"Rudi-Hiden-Gasse","22","Gemeindestraße"
"Otto-Preminger-Straße","3","Gemeindestraße"
"Anna-Hand-Weg","3","Gemeindestraße"
"Parkanlage Tullnertalgasse","23","Park"
"Brücke Grinzinger Straße","19","Brücke"
"Karl-Marx-Hof","19","städtische Wohnhausanlage"
"Liskahof","14","städtische Wohnhausanlage"
"Göllnergasse","3","Gemeindestraße"
"Pachtweg","22","Weg in Kleingartenanlage"
"Sanzingasse","10","Gemeindestraße"
"Wögingergasse","16","Gemeindestraße"
"Anningerweg","10","Gemeindestraße"
"Burghardtgasse","20","Gemeindestraße"
"Drillgasse","23","Gemeindestraße"
"Parkbachbrücke","17","Brücke"
"Kohlenbrennerbrücke","19","Brücke"
"B7","21","Landesstraße B"
"B3b","22","Landesstraße B"
"Parkanlage Trunnerstraße","2","Park"
"Parkanlage Traisengasse","20","Park"
"Parkanlage Thomagasse","21","Park"
"Parkanlage Tetmajergasse","21","Park"
"Parkanlage Tannhäuserplatz","15","Park"
"Parkanlage Suchenwirtplatz","10","Park"
"Parkanlage Stromstraße","20","Park"
"Parkanlage Strohberggasse","12","Park"
"Parkanlage Strebersdorfer Straße","21","Park"
"Parkanlage Stöberplatz","16","Park"
"Parkanlage Stillfriedplatz","16","Park"
"Parkanlage Stiftgasse","7","Park"
"Parkanlage Stella-Klein-Löw-Weg","2","Park"
"Parkanlage Steinweisweg","12","Park"
"Marillenalm","12","Park"
"Parkanlage Grünbergstraße","13","Park"
"Parkanlage Steinbüchlweg","19","Park"
"Parkanlage Steigenteschgasse","22","Park"
"Parkanlage Stammersdorfer Straße","21","Park"
"Parkanlage Spinozagasse","16","Park"
"Parkanlage Spielmanngasse","20","Park"
"Parkanlage Sonnwendgasse","10","Park"
"Parkanlage Sommerergasse","13","Park"
"Parkanlage Simoningplatz","11","Park"
"Parkanlage Silvaraweg","19","Park"
"Parkanlage Sillerplatz","13","Park"
"Parkanlage Siedlung Wienerflur","23","Park"
"Parkanlage Sechshauser Gürtel","15","Park"
"Parkanlage Sebastianplatz","3","Park"
"Parkanlage Schwarzenbergplatz","3","Park"
"Hochstrahlbrunnen","3","Brunnen"
"Parkanlage Sebaldgasse","21","Park"
"Parkanlage Schwaigergasse","21","Park"
"Parkanlage Schüttauplatz","22","Park"
"Parkanlage Schuhmeierplatz","16","Park"
"Angelo-Soliman-Weg","3","Gemeindestraße"
"Parkanlage Schrickgasse","22","Park"
"Parkanlage Schreinerweg","22","Park"
"Parkanlage Schöffelplatz","14","Park"
"Hans-Hass-Park","22","Park"
"Parkanlage Schnitterweg","22","Park"
"Parkanlage Schluckergasse","13","Park"
"Parkanlage Schlossergasse","21","Park"
"Parkanlage Schlöglgasse","12","Park"
"Parkanlage Fasangartengasse","12","Park"
"Parkanlage Schleiergasse","10","Park"
"Parkanlage Schillerpromenade","23","Park"
"Parkanlage Schickgasse","22","Park"
"Parkanlage Ruzickagasse","23","Park"
"Parkanlage Rupertusplatz","17","Park"
"Parkanlage Rueppgasse","2","Park"
"Parkanlage Rudolfshügelgasse","10","Park"
"Parkanlage Saligergasse","10","Park"
"Volkskundemuseum","8","Museum"
"Bertha-Neumann-Park","23","Park"
"Parkanlage Rudolf-Kirchschläger-Platz","17","Park"
"Parkanlage Dornbacher Straße","17","Park"
"Parkanlage Roter Berg","13","Park"
"Parkanlage Clarplatz","13","Park"
"Parkanlage Rotenmühlgasse","12","Park"
"Parkanlage Rosinagasse","15","Park"
"Parkanlage Rosenbergstraße","22","Park"
"Parkanlage Rosasgasse","12","Park"
"Parkanlage Röntgengasse","17","Park"
"Grünanlage Frödenplatz","10","Park"
"Parkanlage Rodauner Kirchenplatz","23","Park"
"Hietzing","13","Gemeindebezirk"
"Penzing","14","Gemeindebezirk"
"Liesing","23","Gemeindebezirk"
"Hernals","17","Gemeindebezirk"
"Ottakring","16","Gemeindebezirk"
"Währing","18","Gemeindebezirk"
"Döbling","19","Gemeindebezirk"
"Meidling","12","Gemeindebezirk"
"Rudolfsheim-Fünfhaus","15","Gemeindebezirk"
"Favoriten","10","Gemeindebezirk"
"Neubau","7","Gemeindebezirk"
"Mariahilf","6","Gemeindebezirk"
"Josefstadt","8","Gemeindebezirk"
"Alsergrund","9","Gemeindebezirk"
"Margareten","5","Gemeindebezirk"
"Innere Stadt","1","Gemeindebezirk"
"Floridsdorf","21","Gemeindebezirk"
"Wieden","4","Gemeindebezirk"
"Brigittenau","20","Gemeindebezirk"
"Dürauergasse","17","Gemeindestraße"
"Buchfinkweg","17","Gemeindestraße"
"De-Quer-Gasse","17","Gemeindestraße"
"Fiebrichgasse","22","Gemeindestraße"
"Colloredogasse","18","Gemeindestraße"
"Tulipanenweg","22","Gemeindestraße"
"Smaragdgasse","21","Gemeindestraße"
"Dominik-Wölfel-Gasse","21","Gemeindestraße"
"Deublergasse","21","Gemeindestraße"
"Bessemerstraße","21","Gemeindestraße"
"Heinrich-von-Buol-Gasse","21","Gemeindestraße"
"Maxwellgasse","21","Gemeindestraße"
"Otto-Hötzl-Weg","16","Gemeindestraße"
"Karl-Metschl-Gasse","16","Gemeindestraße"
"Wassermanngasse","21","Gemeindestraße"
"Prießnitzgasse","21","Gemeindestraße"
"Oerleygasse","11","Gemeindestraße"
"Wegelergasse","18","Gemeindestraße"
"Schleiergasse","10","Gemeindestraße"
"Uetzgasse","10","Gemeindestraße"
"Dr.-Eberle-Gasse","10","Gemeindestraße"
"Universumstraße","20","Gemeindestraße"
"Hernstorferstraße","14","Gemeindestraße"
"In der goldenen Erden","21","Gemeindestraße"
"Schrailplatz","23","Gemeindestraße"
"Hummelgasse","13","Gemeindestraße"
"Lainzerbachstraße","13","Gemeindestraße"
"Nachtigallenweg","14","Gemeindestraße"
"Muthsamgasse","14","Gemeindestraße"
"Kellinggasse","15","Gemeindestraße"
"Eselstiege","17","Gemeindestraße"
"Karl-Heinz-Straße","23","Gemeindestraße"
"Dusikagasse","22","Gemeindestraße"
"Bertoligasse","16","Gemeindestraße"
"Belgradplatz","10","Gemeindestraße"
"Murbangasse","10","Gemeindestraße"
"Goldeggasse","4","Gemeindestraße"
"Fabriksbrücke","12|15","Brücke"
"Händelgasse","17|18","Gemeindestraße"
"Mondweg","14","Gemeindestraße"
"Reinprechtsdorfer Brücke","5|6","Brücke"
"Hoefftgasse","11","Gemeindestraße"
"Robertsonweg","22","Gemeindestraße"
"Wallensteinstraße","20","Gemeindestraße"
"Traisengasse","20","Gemeindestraße"
"Spaungasse","20","Gemeindestraße"
"Schmöllerlgasse","4","Gemeindestraße"
"Viktor-Christ-Gasse","5","Gemeindestraße"
"Amtshausgasse","5","Gemeindestraße"
"Stöbergasse","5","Gemeindestraße"
"Freytaggasse","21","Gemeindestraße"
"Feldgasse","8","Gemeindestraße"
"Schlesingerplatz","8","Gemeindestraße"
"Roter Hof","8","Gemeindestraße"
"Balsaminengasse","14","Gemeindestraße"
"Heideweg","14","Weg in Kleingartenanlage"
"Perspektivstraße","2","Gemeindestraße"
"Wittmayergasse","12","Gemeindestraße"
"Molnargasse","17|18","Gemeindestraße"
"Dornbacher Straße","17","Gemeindestraße"
"Rhigasgasse","17","Gemeindestraße"
"Halirschgasse","17","Gemeindestraße"
"Josef-Moser-Gasse","17","Gemeindestraße"
"Dornerplatz","17","Gemeindestraße"
"Elterleinplatz","17","Gemeindestraße"
"Ranftlgasse","17|18","Gemeindestraße"
"Stefan-Zweig-Platz","17","Gemeindestraße"
"Poschgasse","14","Gemeindestraße"
"Reinlgasse","14","Gemeindestraße"
"Gruschaplatz","14","Gemeindestraße"
"Keißlergasse","14","Gemeindestraße"
"Zehetnergasse","14","Gemeindestraße"
"Kefergasse","14","Gemeindestraße"
"Teybergasse","14","Gemeindestraße"
"Wißgrillgasse","14","Gemeindestraße"
"Knaackgasse","21","Gemeindestraße"
"Schöffelgasse","18","Gemeindestraße"
"Körnergasse","2","Gemeindestraße"
"Veltzégasse","19","Gemeindestraße"
"Waldgasse","10","Gemeindestraße"
"Kraelitzgasse","13","Gemeindestraße"
"Pallenbergstraße","13","Gemeindestraße"
"Zeifgasse","13","Gemeindestraße"
"Wiengasse","14","Gemeindestraße"
"Marsweg","14","Gemeindestraße"
"Märzstraße","14|15","Gemeindestraße"
